0,6,number,n/a
1.2,4,number,n/a
1.3,2,number,n/a
1.6,3,number,n/a
1.7,2,number,n/a
10,26,number,n/a
100,27,number,n/a
1000,19,number,n/a
11,5,number,n/a
110,1,number,n/a
115,1,number,n/a
12,16,number,n/a
13,2,number,n/a
1300,1,number,n/a
1390,3,number,n/a
14,8,number,n/a
15,19,number,n/a
150,3,number,n/a
1500,2,number,n/a
160,2,number,n/a
165,3,number,n/a
17,13,number,n/a
170,2,number,n/a
18,6,number,n/a
180,2,number,n/a
1800,4,number,n/a
19,7,number,n/a
1900,1,number,n/a
1930,1,number,n/a
1936,1,number,n/a
1977,2,number,n/a
1982,3,number,n/a
1983,1,number,n/a
1986,1,number,n/a
1994,1,number,n/a
2,153,number,n/a
2.1,2,number,n/a
2.13,1,number,n/a
20,25,number,n/a
200,6,number,n/a
2000,4,number,n/a
2001,2,number,n/a
2002,2,number,n/a
2003,1,number,n/a
2008,1,number,n/a
24,2,number,n/a
25,5,number,n/a
250,1,number,n/a
3,66,number,n/a
30,16,number,n/a
300,1,number,n/a
3004,1,number,n/a
33,3,number,n/a
34,1,number,n/a
35,2,number,n/a
36,2,number,n/a
38,1,number,n/a
4,48,number,n/a
4.16,1,number,n/a
40,6,number,n/a
400,3,number,n/a
4000,1,number,n/a
41,1,number,n/a
42,3,number,n/a
45,2,number,n/a
49,1,number,n/a
5,45,number,n/a
50,7,number,n/a
5000,1,number,n/a
52,1,number,n/a
53,3,number,n/a
55,1,number,n/a
56,3,number,n/a
58,1,number,n/a
6,23,number,n/a
60,7,number,n/a
60000,1,number,n/a
61,2,number,n/a
62,5,number,n/a
63,6,number,n/a
64,3,number,n/a
68,4,number,n/a
69,1,number,n/a
7,16,number,n/a
70,9,number,n/a
72,3,number,n/a
73,1,number,n/a
75,4,number,n/a
76,3,number,n/a
77,2,number,n/a
78,4,number,n/a
79,5,number,n/a
8,30,number,n/a
80,21,number,n/a
80000,1,number,n/a
81,3,number,n/a
82,11,number,n/a
83,10,number,n/a
85,7,number,n/a
86,1,number,n/a
87,3,number,n/a
88,2,number,n/a
89,3,number,n/a
9,28,number,n/a
90,15,number,n/a
92,2,number,n/a
94,1,number,n/a
95,5,number,n/a
98,3,number,n/a
99,4,number,n/a
bonito2.2,1,number,n/a
3000000,1,number,partitive
40000000,1,number,partitive
$_ECU:1000,1,number,currency
$_ECU:105,1,number,currency
$_ECU:12000000,1,number,currency
$_ECU:200,1,number,currency
$_ECU:3,1,number,currency
$_ECU:300,1,number,currency
$_ECU:360,1,number,currency
$_ECU:400,1,number,currency
$_ECU:5,2,number,currency
$_ECU:5000,2,number,currency
$_ECU:60,1,number,currency
$_ECU:800,1,number,currency
$_ECU:90,1,number,currency
$_ESP:1000,2,number,currency
$_ESP:120000,1,number,currency
$_ESP:20000,1,number,currency
$_ESP:300000,1,number,currency
$_ESP:400000,1,number,currency
$_ESP:70000,3,number,currency
$_ESP:700000,1,number,currency
10/12,1,number,percentage
3/4,1,number,percentage
LN_km:100,1,number,unit
LN_km:3,1,number,unit
LN_km:50,1,number,unit
LN_m:50,1,number,unit
TM_d:10,2,number,unit
TM_d:15,1,number,unit
TM_d:2,8,number,unit
TM_d:27,1,number,unit
TM_d:3,6,number,unit
TM_d:4,2,number,unit
TM_d:5,1,number,unit
TM_h:15,2,number,unit
TM_h:2,4,number,unit
TM_h:20,1,number,unit
TM_h:24,4,number,unit
TM_h:27,1,number,unit
TM_h:3,1,number,unit
TM_h:48,1,number,unit
TM_h:60,1,number,unit
TM_min:10,8,number,unit
TM_min:2,1,number,unit
TM_min:20,1,number,unit
TM_min:3,1,number,unit
TM_min:40,1,number,unit
TM_min:45,1,number,unit
TM_min:5,2,number,unit
WG_g:200,1,number,unit
WG_g:250,1,number,unit
